# Run 2016-05-30 02:56:36
# Parameters:
#	degap: False
#	translate: False
#	hydrophobicity_scale: Kyte-Doolittle
#	merge: False
#	aas: all
#	begin_aa: 1
#	pH: 7.2
#	out_fname: ../data/scer-proteome-aa-freqs.txt
#	sequence: None
#	exclude: False
#	end_aa: None
#	in_fname: c:/Dropbox (Drummond Lab)/bio/genomes/scer_orf_trans_all.fasta
#	query: None
orf	length	charge	pI	hydrophobicity	f.A	f.C	f.D	f.E	f.F	f.G	f.H	f.I	f.K	f.L	f.M	f.N	f.P	f.Q	f.R	f.S	f.T	f.V	f.W	f.Y	n.A	n.C	n.D	n.E	n.F	n.G	n.H	n.I	n.K	n.L	n.M	n.N	n.P	n.Q	n.R	n.S	n.T	n.V	n.W	n.Y
#YDL237W AIM6 SGDID:S000002396, Chr IV from 30657-31829, Genome Release 64-1-1, Verified ORF, "Putative protein of unknown function, required for respiratory growth; YDL237W is not an essential gene"
YDL237W	390	-11.8324	5.2712	-0.2064	0.0538	0.0154	0.0795	0.0538	0.0487	0.0513	0.0256	0.0615	0.0692	0.1333	0.0179	0.0538	0.0385	0.0205	0.0333	0.0923	0.0410	0.0462	0.0179	0.0462	21	6	31	21	19	20	10	24	27	52	7	21	15	8	13	36	16	18	7	18
#YDL238C GUD1 SGDID:S000002397, Chr IV from 30454-28985, Genome Release 64-1-1, reverse complement, Verified ORF, "Guanine deaminase, a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine; activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures"
YDL238C	489	-11.8907	5.6652	-0.3421	0.0429	0.0225	0.0716	0.0593	0.0450	0.0593	0.0286	0.0511	0.0654	0.0920	0.0184	0.0491	0.0348	0.0491	0.0409	0.0675	0.0777	0.0838	0.0123	0.0286	21	11	35	29	22	29	14	25	32	45	9	24	17	24	20	33	38	41	6	14
#YDL239C ADY3 SGDID:S000002398, Chr IV from 28775-26403, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein required for spore wall formation, thought to mediate assembly of a Don1p-containing structure at the leading edge of the prospore membrane via interaction with spindle pole body components; potentially phosphorylated by Cdc28p"
YDL239C	790	6.9636	8.8138	-0.8277	0.0329	0.0051	0.0468	0.1051	0.0405	0.0304	0.0228	0.0620	0.1152	0.1165	0.0139	0.0747	0.0266	0.0608	0.0443	0.0937	0.0430	0.0380	0.0063	0.0215	26	4	37	83	32	24	18	49	91	92	11	59	21	48	35	74	34	30	5	17
#YDL240C-A YDL240C-A SGDID:S000007601, Chr IV from 22608-22471, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species"
YDL240C-A	45	1.0070	8.6464	0.1311	0.0444	0.0000	0.0444	0.0444	0.1556	0.0000	0.0444	0.1333	0.0444	0.0444	0.0222	0.0000	0.0444	0.0444	0.0667	0.0667	0.0444	0.0444	0.0000	0.1111	2	0	2	2	7	0	2	6	2	2	1	0	2	2	3	3	2	2	0	5
#YDL240W LRG1 SGDID:S000002399, Chr IV from 22823-25876, Genome Release 64-1-1, Verified ORF, "Putative GTPase-activating protein (GAP) involved in the Pkc1p-mediated signaling pathway that controls cell wall integrity; appears to specifically regulate 1,3-beta-glucan synthesis"
YDL240W	1017	12.2984	8.1217	-0.3610	0.0433	0.0295	0.0492	0.0639	0.0423	0.0334	0.0216	0.0688	0.0855	0.1042	0.0256	0.0619	0.0413	0.0403	0.0403	0.0836	0.0669	0.0492	0.0079	0.0413	44	30	50	65	43	34	22	70	87	106	26	63	42	41	41	85	68	50	8	42
#YDL241W YDL241W SGDID:S000002400, Chr IV from 20635-21006, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; YDL241W is not an essential gene"
YDL241W	123	-0.2133	7.0454	-0.1797	0.0732	0.0325	0.0163	0.0569	0.0732	0.0894	0.0244	0.0488	0.0650	0.0650	0.0163	0.0650	0.0407	0.0244	0.0081	0.0650	0.1301	0.0407	0.0000	0.0650	9	4	2	7	9	11	3	6	8	8	2	8	5	3	1	8	16	5	0	8
#YDL242W YDL242W SGDID:S000002401, Chr IV from 18959-19312, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YDL242W	117	2.8702	8.6522	-0.2265	0.0342	0.0256	0.0598	0.0513	0.0256	0.0342	0.0256	0.0940	0.0684	0.1197	0.0342	0.0684	0.0256	0.0427	0.0684	0.1026	0.0513	0.0598	0.0000	0.0085	4	3	7	6	3	4	3	11	8	14	4	8	3	5	8	12	6	7	0	1
#YDL243C AAD4 SGDID:S000002402, Chr IV from 18566-17577, Genome Release 64-1-1, reverse complement, Verified ORF, "Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin"
YDL243C	329	-2.6081	6.4380	-0.3623	0.0790	0.0061	0.0547	0.0729	0.0365	0.0760	0.0274	0.0699	0.0821	0.0669	0.0304	0.0395	0.0274	0.0365	0.0365	0.0790	0.0486	0.0669	0.0243	0.0395	26	2	18	24	12	25	9	23	27	22	10	13	9	12	12	26	16	22	8	13
#YDL244W THI13 SGDID:S000002403, Chr IV from 16204-17226, Genome Release 64-1-1, Verified ORF, "Protein involved in synthesis of the thiamine precursor hydroxymethylpyrimidine (HMP); member of a subtelomeric gene family including THI5, THI11, THI12, and THI13"
YDL244W	340	2.4969	7.8317	-0.3088	0.0706	0.0294	0.0559	0.0676	0.0382	0.0676	0.0147	0.0647	0.1000	0.0971	0.0235	0.0294	0.0529	0.0412	0.0324	0.0441	0.0500	0.0500	0.0118	0.0588	24	10	19	23	13	23	5	22	34	33	8	10	18	14	11	15	17	17	4	20
#YDL245C HXT15 SGDID:S000002404, Chr IV from 13360-11657, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein of unknown function with similarity to hexose transporter family members, expression is induced by low levels of glucose and repressed by high levels of glucose"
YDL245C	567	4.2737	7.9568	0.3573	0.0688	0.0247	0.0247	0.0494	0.0741	0.0917	0.0106	0.0758	0.0529	0.0917	0.0282	0.0335	0.0423	0.0247	0.0300	0.0811	0.0459	0.0811	0.0229	0.0459	39	14	14	28	42	52	6	43	30	52	16	19	24	14	17	46	26	46	13	26
#YDL246C SOR2 SGDID:S000002405, Chr IV from 9756-8683, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Protein of unknown function; protein sequence is 99% identical to the Sor1p sorbitol dehydrogenase; computational analysis of large-scale protein-protein interaction data also suggests a role in fructose or mannose metabolism"
YDL246C	357	-2.9828	6.3549	-0.0146	0.0896	0.0168	0.0616	0.0504	0.0476	0.1092	0.0224	0.0532	0.0756	0.0560	0.0168	0.0364	0.0476	0.0224	0.0280	0.0532	0.0532	0.1204	0.0000	0.0392	32	6	22	18	17	39	8	19	27	20	6	13	17	8	10	19	19	43	0	14
#YDL247W MPH2 SGDID:S000002406, Chr IV from 5985-7814, Genome Release 64-1-1, Verified ORF, "Alpha-glucoside permease, transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication"
YDL247W	609	10.9113	8.4481	0.1259	0.0722	0.0296	0.0361	0.0493	0.0624	0.0706	0.0082	0.0690	0.0657	0.1084	0.0197	0.0328	0.0378	0.0246	0.0394	0.0854	0.0690	0.0542	0.0263	0.0394	44	18	22	30	38	43	5	42	40	66	12	20	23	15	24	52	42	33	16	24
#YDL247W-A YDL247W-A SGDID:S000007602, Chr IV from 3762-3836, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; identified by sequence comparison with hemiascomycetous yeast species"
YDL247W-A	24	-0.9883	6.1157	-0.7125	0.0000	0.0000	0.0000	0.0833	0.0417	0.0000	0.0833	0.0833	0.0000	0.1250	0.0833	0.1667	0.0417	0.0833	0.0417	0.0833	0.0417	0.0000	0.0000	0.0417	0	0	0	2	1	0	2	2	0	3	2	4	1	2	1	2	1	0	0	1
#YDL248W COS7 SGDID:S000002407, Chr IV from 1802-2953, Genome Release 64-1-1, Verified ORF, "Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YDL248W	383	7.5101	8.5872	-0.0191	0.0418	0.0261	0.0366	0.0705	0.0862	0.0209	0.0131	0.0548	0.0940	0.1332	0.0287	0.0470	0.0366	0.0339	0.0339	0.0757	0.0366	0.0574	0.0444	0.0287	16	10	14	27	33	8	5	21	36	51	11	18	14	13	13	29	14	22	17	11
#YDR001C NTH1 SGDID:S000002408, Chr IV from 452475-450220, Genome Release 64-1-1, reverse complement, Verified ORF, "Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; may be phosphorylated by Cdc28p"
YDR001C	751	1.6131	7.6162	-0.5438	0.0679	0.0080	0.0573	0.0666	0.0479	0.0679	0.0213	0.0493	0.0666	0.0866	0.0226	0.0493	0.0519	0.0346	0.0586	0.0613	0.0639	0.0466	0.0160	0.0559	51	6	43	50	36	51	16	37	50	65	17	37	39	26	44	46	48	35	12	42
#YDR002W YRB1 SGDID:S000002409, Chr IV from 453045-453650, Genome Release 64-1-1, Verified ORF, "Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1"
YDR002W	201	-3.1086	5.8105	-0.9891	0.0945	0.0149	0.0796	0.1393	0.0547	0.0398	0.0149	0.0398	0.1642	0.0348	0.0199	0.0299	0.0498	0.0050	0.0398	0.0448	0.0498	0.0597	0.0100	0.0149	19	3	16	28	11	8	3	8	33	7	4	6	10	1	8	9	10	12	2	3
#YDR003W RCR2 SGDID:S000002410, Chr IV from 454122-454754, Genome Release 64-1-1, Verified ORF, "Vacuolar protein that presumably functions within the endosomal-vacuolar trafficking pathway, affecting events that determine whether plasma membrane proteins are degraded or routed to the plasma membrane; similar to Rcr1p"
YDR003W	210	-5.9723	5.0646	-0.7443	0.0619	0.0048	0.0667	0.0762	0.0619	0.0429	0.0143	0.0524	0.0286	0.0619	0.0143	0.0810	0.0667	0.0429	0.0857	0.0810	0.0571	0.0524	0.0190	0.0286	13	1	14	16	13	9	3	11	6	13	3	17	14	9	18	17	12	11	4	6
#YDR003W-A YDR003W-A SGDID:S000028819, Chr IV from 454782-454904, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; identified by expression profiling and mass spectrometry"
YDR003W-A	40	2.7136	8.9719	-0.7025	0.0250	0.0500	0.0250	0.1000	0.0750	0.0500	0.0000	0.0750	0.1250	0.0250	0.0250	0.0250	0.0000	0.0000	0.0750	0.1250	0.0500	0.0250	0.0000	0.1250	1	2	1	4	3	2	0	3	5	1	1	1	0	0	3	5	2	1	0	5
#YDR004W RAD57 SGDID:S000002411, Chr IV from 455201-456583, Genome Release 64-1-1, Verified ORF, "Protein that stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad55p"
YDR004W	460	-3.8262	6.2695	-0.3552	0.0435	0.0109	0.0543	0.0674	0.0348	0.0543	0.0196	0.0696	0.0630	0.1087	0.0217	0.0543	0.0348	0.0500	0.0500	0.0957	0.0543	0.0609	0.0087	0.0435	20	5	25	31	16	25	9	32	29	50	10	25	16	23	23	44	25	28	4	20
#YDR005C MAF1 SGDID:S000002412, Chr IV from 458017-456836,458103-458098, Genome Release 64-1-1, reverse complement, Verified ORF, "Negative regulator of RNA polymerase III; component of several signaling pathways that repress polymerase III transcription in response to changes in cellular environment; targets the initiation factor TFIIIB"
YDR005C	395	-9.2685	5.0092	-0.8575	0.0354	0.0127	0.0633	0.0684	0.0456	0.0405	0.0076	0.0532	0.0608	0.0759	0.0076	0.1114	0.0405	0.0354	0.0481	0.1570	0.0481	0.0329	0.0101	0.0456	14	5	25	27	18	16	3	21	24	30	3	44	16	14	19	62	19	13	4	18
#YDR006C SOK1 SGDID:S000002413, Chr IV from 461247-458542, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein whose overexpression suppresses the growth defect of mutants lacking protein kinase A activity; involved in cAMP-mediated signaling; localized to the nucleus; similar to the mouse testis-specific protein PBS13"
YDR006C	901	17.7700	9.4683	-0.5576	0.0522	0.0100	0.0544	0.0411	0.0333	0.0311	0.0233	0.0710	0.0622	0.0966	0.0178	0.0932	0.0655	0.0433	0.0522	0.1165	0.0644	0.0400	0.0078	0.0244	47	9	49	37	30	28	21	64	56	87	16	84	59	39	47	105	58	36	7	22
#YDR007W TRP1 SGDID:S000002414, Chr IV from 461842-462516, Genome Release 64-1-1, Verified ORF, "Phosphoribosylanthranilate isomerase that catalyzes the third step in tryptophan biosynthesis; in 2004, the sequence of TRP1 from strain S228C was updated by changing the previously annotated internal STOP (TAA) to serine (TCA)"
YDR007W	224	-5.1979	5.1474	-0.0844	0.0625	0.0179	0.0670	0.0536	0.0357	0.0938	0.0134	0.0625	0.0670	0.1027	0.0089	0.0580	0.0491	0.0312	0.0312	0.0893	0.0312	0.0938	0.0134	0.0179	14	4	15	12	8	21	3	14	15	23	2	13	11	7	7	20	7	21	3	4
#YDR008C YDR008C SGDID:S000002415, Chr IV from 462602-462252, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YDR008C	116	4.7146	9.4642	0.0267	0.0603	0.0259	0.0000	0.0431	0.0948	0.0259	0.0086	0.0517	0.0690	0.0948	0.0172	0.0431	0.1034	0.0431	0.0172	0.1466	0.0776	0.0431	0.0000	0.0345	7	3	0	5	11	3	1	6	8	11	2	5	12	5	2	17	9	5	0	4
#YDR009W GAL3 SGDID:S000002416, Chr IV from 463434-464996, Genome Release 64-1-1, Verified ORF, "Transcriptional regulator involved in activation of the GAL genes in response to galactose; forms a complex with Gal80p to relieve Gal80p inhibition of Gal4p; binds galactose and ATP but does not have galactokinase activity"
YDR009W	520	-3.0469	6.6074	-0.2446	0.0865	0.0231	0.0558	0.0577	0.0577	0.0538	0.0250	0.0500	0.0596	0.0865	0.0192	0.0577	0.0442	0.0308	0.0481	0.0731	0.0615	0.0654	0.0058	0.0385	45	12	29	30	30	28	13	26	31	45	10	30	23	16	25	38	32	34	3	20
#YDR010C YDR010C SGDID:S000002417, Chr IV from 465383-465051, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YDR010C	110	5.7905	9.5128	-0.1191	0.0636	0.0364	0.0364	0.0455	0.0636	0.0909	0.0273	0.0636	0.0273	0.0818	0.0364	0.0455	0.0455	0.0000	0.1091	0.0545	0.0455	0.0545	0.0273	0.0455	7	4	4	5	7	10	3	7	3	9	4	5	5	0	12	6	5	6	3	5
#YDR011W SNQ2 SGDID:S000002418, Chr IV from 465919-470424, Genome Release 64-1-1, Verified ORF, "Plasma membrane ATP-binding cassette (ABC) transporter, multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species"
YDR011W	1501	2.0173	7.4106	-0.0868	0.0746	0.0173	0.0440	0.0566	0.0613	0.0686	0.0187	0.0660	0.0620	0.0859	0.0306	0.0406	0.0333	0.0340	0.0400	0.0893	0.0540	0.0586	0.0113	0.0533	112	26	66	85	92	103	28	99	93	129	46	61	50	51	60	134	81	88	17	80
#YDR012W RPL4B SGDID:S000002419, Chr IV from 471853-472941, Genome Release 64-1-1, Verified ORF, "Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl4Ap and has similarity to E. coli L4 and rat L4 ribosomal proteins"
YDR012W	362	34.5304	11.1197	-0.2989	0.1271	0.0028	0.0193	0.0442	0.0221	0.0773	0.0276	0.0414	0.0884	0.0773	0.0083	0.0442	0.0470	0.0331	0.0691	0.0691	0.0746	0.0939	0.0166	0.0166	46	1	7	16	8	28	10	15	32	28	3	16	17	12	25	25	27	34	6	6
#YDR013W PSF1 SGDID:S000002420, Chr IV from 473157-473783, Genome Release 64-1-1, Verified ORF, "Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"
YDR013W	208	-6.2768	4.9037	-0.4543	0.0288	0.0192	0.0913	0.0577	0.0288	0.0433	0.0096	0.0577	0.0673	0.1394	0.0288	0.0625	0.0144	0.0817	0.0529	0.0625	0.0385	0.0625	0.0048	0.0481	6	4	19	12	6	9	2	12	14	29	6	13	3	17	11	13	8	13	1	10
#YDR014W RAD61 SGDID:S000002421, Chr IV from 474046-475989, Genome Release 64-1-1, Verified ORF, "Subunit of a complex (Scc3p, Pds5p, Rad61p) that inhibits sister chromatid cohesion; inhibited by Eco1p-acetylated cohesin subunits Smc3p and Mcd1p; related to the human Wapl protein that controls the association of cohesin with chromatin"
YDR014W	647	-13.3586	5.5348	-0.5607	0.0309	0.0046	0.0819	0.0726	0.0541	0.0309	0.0201	0.0850	0.0927	0.1113	0.0294	0.0819	0.0263	0.0278	0.0402	0.1082	0.0448	0.0247	0.0046	0.0278	20	3	53	47	35	20	13	55	60	72	19	53	17	18	26	70	29	16	3	18
#YDR014W-A HED1 SGDID:S000113613, Chr IV from 477797-478285, Genome Release 64-1-1, Verified ORF, "Meiosis-specific protein that down-regulates Rad51p-mediated mitotic recombination when the meiotic recombination machinery is impaired; early meiotic gene, transcribed specifically during meiotic prophase"
YDR014W-A	162	16.7892	10.5597	-1.0321	0.0370	0.0123	0.0370	0.0556	0.0123	0.0617	0.0062	0.0309	0.1296	0.0926	0.0123	0.0802	0.0679	0.0617	0.0679	0.0926	0.0432	0.0617	0.0000	0.0370	6	2	6	9	2	10	1	5	21	15	2	13	11	10	11	15	7	10	0	6
#YDR015C YDR015C SGDID:S000002422, Chr IV from 478199-477960, Genome Release 64-1-1, reverse complement, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene HED1/YDR014W-A"
YDR015C	79	-0.9858	6.6531	0.3937	0.0253	0.0380	0.0506	0.0253	0.0759	0.0506	0.0633	0.0380	0.0253	0.1519	0.0127	0.0127	0.0633	0.0253	0.0380	0.1519	0.0127	0.1013	0.0380	0.0000	2	3	4	2	6	4	5	3	2	12	1	1	5	2	3	12	1	8	3	0
#YDR016C DAD1 SGDID:S000002423, Chr IV from 478758-478474, Genome Release 64-1-1, reverse complement, Verified ORF, "Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"
YDR016C	94	-9.1254	4.0487	-0.4574	0.0319	0.0000	0.0638	0.1064	0.0213	0.0426	0.0000	0.0851	0.0532	0.1170	0.0319	0.0745	0.0213	0.0532	0.0213	0.1383	0.0745	0.0319	0.0106	0.0213	3	0	6	10	2	4	0	8	5	11	3	7	2	5	2	13	7	3	1	2
#YDR017C KCS1 SGDID:S000002424, Chr IV from 482267-479115, Genome Release 64-1-1, reverse complement, Verified ORF, "Inositol hexakisphosphate (IP6) and inositol heptakisphosphate (IP7) kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response and telomere maintenance"
YDR017C	1050	-11.4525	6.4130	-0.8663	0.0429	0.0152	0.0724	0.0714	0.0352	0.0429	0.0362	0.0514	0.0800	0.0810	0.0190	0.0800	0.0419	0.0390	0.0514	0.1067	0.0552	0.0419	0.0076	0.0286	45	16	76	75	37	45	38	54	84	85	20	84	44	41	54	112	58	44	8	30
#YDR018C YDR018C SGDID:S000002425, Chr IV from 483860-482670, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Probable membrane protein with three predicted transmembrane domains; homologous to Ybr042cp, similar to C. elegans F55A11.5 and maize 1-acyl-glycerol-3-phosphate acyltransferase"
YDR018C	396	20.9282	9.9434	-0.0641	0.0505	0.0177	0.0328	0.0404	0.0707	0.0480	0.0202	0.0707	0.0833	0.1212	0.0227	0.0631	0.0354	0.0429	0.0429	0.0682	0.0480	0.0556	0.0177	0.0480	20	7	13	16	28	19	8	28	33	48	9	25	14	17	17	27	19	22	7	19
#YDR019C GCV1 SGDID:S000002426, Chr IV from 485365-484163, Genome Release 64-1-1, reverse complement, Verified ORF, "T subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm"
YDR019C	400	6.4591	9.1369	-0.2857	0.0675	0.0075	0.0500	0.0550	0.0425	0.0825	0.0275	0.0500	0.0850	0.1075	0.0200	0.0500	0.0450	0.0400	0.0350	0.0600	0.0575	0.0700	0.0100	0.0375	27	3	20	22	17	33	11	20	34	43	8	20	18	16	14	24	23	28	4	15
#YDR020C DAS2 SGDID:S000002427, Chr IV from 486444-485746, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; weak similarity with uridine kinases and with phosphoribokinases"
YDR020C	232	-11.9775	4.6603	-0.4474	0.0517	0.0086	0.0948	0.0690	0.0216	0.0474	0.0172	0.1121	0.0647	0.0905	0.0259	0.0905	0.0216	0.0388	0.0474	0.0517	0.0431	0.0517	0.0043	0.0474	12	2	22	16	5	11	4	26	15	21	6	21	5	9	11	12	10	12	1	11
#YDR021W FAL1 SGDID:S000002428, Chr IV from 486804-488003, Genome Release 64-1-1, Verified ORF, "Nucleolar protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases"
YDR021W	399	8.8045	9.3847	-0.2506	0.0526	0.0125	0.0727	0.0501	0.0426	0.0551	0.0100	0.0852	0.0977	0.0902	0.0326	0.0426	0.0201	0.0602	0.0476	0.0677	0.0551	0.0752	0.0075	0.0226	21	5	29	20	17	22	4	34	39	36	13	17	8	24	19	27	22	30	3	9
#YDR022C CIS1 SGDID:S000002429, Chr IV from 488662-488072, Genome Release 64-1-1, reverse complement, Verified ORF, "Autophagy-specific protein required for autophagosome formation; may form a complex with Atg17p and Atg29p that localizes other proteins to the pre-autophagosomal structure; high-copy suppressor of CIK1 deletion"
YDR022C	196	-28.0399	3.8782	-0.6724	0.0255	0.0051	0.1276	0.0918	0.0255	0.0306	0.0102	0.0561	0.0459	0.1122	0.0204	0.0918	0.0204	0.0408	0.0306	0.1173	0.0459	0.0663	0.0000	0.0357	5	1	25	18	5	6	2	11	9	22	4	18	4	8	6	23	9	13	0	7
#YDR023W SES1 SGDID:S000002430, Chr IV from 489508-490896, Genome Release 64-1-1, Verified ORF, "Cytosolic seryl-tRNA synthetase, class II aminoacyl-tRNA synthetase that aminoacylates tRNA(Ser), displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate, interacts with peroxin Pex21p"
YDR023W	462	-8.0306	5.7804	-0.6528	0.0519	0.0173	0.0519	0.1104	0.0433	0.0563	0.0195	0.0563	0.1082	0.0887	0.0130	0.0498	0.0411	0.0455	0.0368	0.0628	0.0281	0.0606	0.0130	0.0455	24	8	24	51	20	26	9	26	50	41	6	23	19	21	17	29	13	28	6	21
#YDR024W FYV1 SGDID:S000002431, Chr IV from 491017-491502, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; mutation decreases survival upon exposure to K1 killer toxin"
YDR024W	161	10.2296	10.2451	-0.3559	0.0186	0.0248	0.0435	0.0186	0.0807	0.0373	0.0559	0.0807	0.0435	0.0621	0.0311	0.0497	0.0745	0.0373	0.0807	0.1056	0.0745	0.0497	0.0000	0.0311	3	4	7	3	13	6	9	13	7	10	5	8	12	6	13	17	12	8	0	5
#YDR025W RPS11A SGDID:S000002432, Chr IV from 491515-491559,491899-492324, Genome Release 64-1-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; identical to Rps11Bp and has similarity to E. coli S17 and rat S11 ribosomal proteins"
YDR025W	156	26.0756	11.2295	-0.4571	0.0641	0.0128	0.0128	0.0256	0.0513	0.0577	0.0321	0.0641	0.1282	0.0321	0.0128	0.0449	0.0513	0.0385	0.0769	0.0577	0.0833	0.1090	0.0064	0.0385	10	2	2	4	8	9	5	10	20	5	2	7	8	6	12	9	13	17	1	6
#YDR026C YDR026C SGDID:S000002433, Chr IV from 494268-492556, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein of unknown function that may interact with ribosomes, based on co-purification experiments; Myb-like DNA-binding protein that may bind to the Ter region of rDNA; interacts physically with Fob1p"
YDR026C	570	21.1908	9.7401	-0.9965	0.0491	0.0123	0.0737	0.0842	0.0175	0.0421	0.0193	0.0579	0.1158	0.0719	0.0281	0.0544	0.0333	0.0246	0.0789	0.0842	0.0544	0.0439	0.0193	0.0351	28	7	42	48	10	24	11	33	66	41	16	31	19	14	45	48	31	25	11	20
#YDR027C VPS54 SGDID:S000002434, Chr IV from 497318-494649, Genome Release 64-1-1, reverse complement, Verified ORF, "Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi; potentially phosphorylated by Cdc28p"
YDR027C	889	-12.3450	5.9874	-0.4547	0.0450	0.0112	0.0641	0.0731	0.0405	0.0360	0.0225	0.0832	0.0697	0.1069	0.0202	0.0697	0.0292	0.0394	0.0529	0.1069	0.0517	0.0416	0.0067	0.0292	40	10	57	65	36	32	20	74	62	95	18	62	26	35	47	95	46	37	6	26
#YDR028C REG1 SGDID:S000002435, Chr IV from 500879-497835, Genome Release 64-1-1, reverse complement, Verified ORF, "Regulatory subunit of type 1 protein phosphatase Glc7p, involved in negative regulation of glucose-repressible genes"
YDR028C	1014	-58.8592	4.7635	-1.1082	0.0552	0.0030	0.1006	0.0661	0.0168	0.0414	0.0325	0.0355	0.0680	0.0582	0.0158	0.1045	0.0424	0.0345	0.0385	0.1469	0.0464	0.0533	0.0079	0.0325	56	3	102	67	17	42	33	36	69	59	16	106	43	35	39	149	47	54	8	33
#YDR029W YDR029W SGDID:S000002436, Chr IV from 501100-501414, Genome Release 64-1-1, Dubious ORF, "Dubious ORF unlikely to encode a protein, based on available experimental and comparative sequence data"
YDR029W	104	4.7070	9.2698	0.4673	0.0192	0.0288	0.0481	0.0096	0.1058	0.0288	0.0096	0.0577	0.0769	0.2308	0.0192	0.0577	0.0192	0.0192	0.0288	0.1250	0.0096	0.0192	0.0096	0.0769	2	3	5	1	11	3	1	6	8	24	2	6	2	2	3	13	1	2	1	8
#YDR030C RAD28 SGDID:S000002437, Chr IV from 503273-501753, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein involved in DNA repair, related to the human CSA protein that is involved in transcription-coupled repair nucleotide excision repair"
YDR030C	506	-2.2625	6.5778	-0.6832	0.0237	0.0198	0.0711	0.0593	0.0395	0.0613	0.0158	0.0613	0.0652	0.0830	0.0296	0.0870	0.0237	0.0494	0.0613	0.0949	0.0514	0.0514	0.0158	0.0356	12	10	36	30	20	31	8	31	33	42	15	44	12	25	31	48	26	26	8	18
#YDR031W MIC14 SGDID:S000002438, Chr IV from 503498-503863, Genome Release 64-1-1, Verified ORF, "Mitochondrial intermembrane space protein, required for normal oxygen consumption; contains twin cysteine-x9-cysteine motifs"
YDR031W	121	-2.6402	5.3680	-0.5248	0.0165	0.0661	0.0744	0.0909	0.0165	0.0413	0.0083	0.0992	0.0992	0.0744	0.0413	0.0826	0.0413	0.0413	0.0496	0.0579	0.0248	0.0579	0.0000	0.0165	2	8	9	11	2	5	1	12	12	9	5	10	5	5	6	7	3	7	0	2
